"Symbol,Name,Data,Last,Change,%Chg,""3Y Chg"",""3Y High"",""3Y Low"",""Avg Vol"",Time"
"AMRK,""A-Mark Precious Meta"",+556.22%,29.53,0.43,+1.48%,25.03,44.6,3.87,301560,2023-03-03"
"COGT,""Cogent Biosciences Inc"",+536.68%,13.49,0.63,+4.90%,11.37,18.07,1.18,540730,2023-03-03"
"RCMT,""R C M Tech Inc"",+535.59%,15,0.24,+1.63%,12.64,28.82,1.02,42555,2023-03-03"
"INOD,""Innodata Inc"",+532.17%,7.27,0.34,+4.91%,6.12,11.25,0.75,163995,2023-03-03"
"NTZ,""Natuzzi S.P.A. ADR"",+532.10%,5.4,-0.0858,-1.56%,4.55,23.11,0.37,9260,2023-03-03"
"TA,""Travelcenters of America Llc"",+521.48%,84.77,0.22,+0.26%,71.13,85.06,5.51,1260295,2023-03-03"
"UEC,""Uranium Energy"",+519.21%,3.74,0.11,+3.03%,3.14,6.6,0.35,6281720,2023-03-03"
"AVNW,""Aviat Networks Inc"",+518.52%,37.08,0.83,+2.29%,31.09,43.76,3.55,64140,2023-03-03"
"UAN,""Cvr Partners LP"",+509.82%,102.45,-11.25,-9.89%,85.65,179.74,5.75,133875,2023-03-03"
"PDSB,""Pds Biotechnology Corp"",+507.50%,7.29,0.27,+3.85%,6.09,17.85,0.62,415690,2023-03-03"
"BBW,""Build-A-Bear Workshop"",+504.30%,21.09,0.44,+2.13%,17.6,26.87,1.01,200830,2023-03-03"
"PI,""Impinj Inc"",+504.08%,139.12,6.64,+5.01%,116.09,142.78,11.47,543710,2023-03-03"
"BTU,""Peabody Energy Corp"",+502.80%,28.03,0.48,+1.74%,23.38,33.29,0.8,5623390,2023-03-03"
"LAC,""Lithium Americas Corp"",+492.44%,24.29,1.07,+4.61%,20.19,41.56,1.92,2857905,2023-03-03"
"GOGO,""Gogo Inc"",+488.26%,16.53,0.54,+3.38%,13.72,23.69,1.33,920795,2023-03-03"
"FLNG,""Flex Lng Ltd"",+487.95%,35.63,0.66,+1.89%,29.57,38.24,3.4,584320,2023-03-03"
"OVV,""Ovintiv Inc"",+480.48%,46.09,0.15000000000001,+0.33%,38.15,63.3,2.1,3442465,2023-03-03"
"CALX,""Calix Inc"",+478.77%,50.99,0.78,+1.55%,42.18,80.95,5.61,706150,2023-03-03"
"SITM,""Sitime Corp"",+472.78%,134.03,2.67,+2.03%,110.63,341.77,15.42,212760,2023-03-03"
"XPEL,""Xpel Technologies"",+467.37%,66.95,1.89,+2.91%,55.15,103.84,7.5,206425,2023-03-03"
"CLFD,""Clearfield Inc"",+465.86%,61,-0.58,-0.94%,50.22,134.9,8.32,485195,2023-03-03"
"LEU,""Centrus Energy Corp"",+460.50%,42.71,0.009999999999998,+0.02%,35.09,88.88,3.76,167595,2023-03-03"
"ACLS,""Axcelis Tech Inc"",+453.52%,129.91,0.74,+0.57%,106.44,132.98,12.99,742295,2023-03-03"
"MGI,""Moneygram Intl"",+450.76%,10.85,-0.03,-0.28%,8.88,12.36,1.15,1180355,2023-03-03"
"STLD,""Steel Dynamics Inc"",+445.33%,136.06,3.17,+2.39%,111.11,136.45,14.98,1583205,2023-03-03"
"CTIC,""Cti Biopharm Corp"",+444.87%,5.38,-0.05,-0.92%,4.39,7.8,0.62,2292430,2023-03-03"
"LTRPB,""Liberty Tripadv B"",+443.03%,26.5,1,+3.92%,19.4,134,2.1,2055,2023-03-01"
"UUUU,""Energy Fuels Inc"",+442.28%,6.67,0.17,+2.62%,5.44,11.39,0.78,1549945,2023-03-03"
"EQT,""Eqt Corp"",+437.56%,34.35,0.99,+2.97%,27.96,51.97,4.9,8081975,2023-03-03"
"TMDX,""Transmedics Group Inc"",+430.82%,82.33,2.28,+2.85%,66.82,82.53,10,544330,2023-03-03"
"ARCB,""Arcbest Corp"",+429.39%,103.92,1.72,+1.68%,84.29,125,13.54,343605,2023-03-03"
"DFIN,""Donnelly Financial Solutions Inc"",+429.08%,41.85,0.54,+1.31%,33.94,52.33,4.04,267510,2023-03-03"
"AMTX,""Aemetis Inc"",+426.03%,3.84,0.21,+5.79%,3.11,27.44,0.37,497770,2023-03-03"
"CROX,""Crocs Inc"",+418.12%,125.54,0.19,+0.15%,101.31,183.88,8.4,1831860,2023-03-03"
"PRTA,""Prothena Corp"",+418.02%,54.03,1.06,+2.00%,43.6,79.75,7.1,422685,2023-03-03"
"WCC,""Wesco International"",+410.62%,172.69,2.57,+1.51%,138.87,172.99,13.52,545210,2023-03-03"
"PDCE,""Pdc Energy Inc"",+406.24%,71.38,2.15,+3.11%,57.28,89.22,4.51,938110,2023-03-03"
"CBAY,""Cymabay Therapeutics"",+405.29%,8.59,0.49,+6.05%,6.89,9.06,1.21,1559855,2023-03-03"
"AA,""Alcoa Corp"",+404.27%,55.52,1.83,+3.41%,44.51,98.09,5.16,5019705,2023-03-03"
"RIOT,""Riot Platforms Inc"",+399.21%,6.34,0.16,+2.59%,5.07,79.5,0.51,14070675,2023-03-03"
"RICK,""RCI Hospitality Hold"",+398.74%,87.43,1.7,+1.98%,69.9,97.45,6.52,91890,2023-03-03"
"TRMD,""Torm Plc Cl A"",+397.95%,36.35,0.54,+1.51%,29.05,48.86,6.17,269180,2023-03-03"
"PERI,""Perion Network Ltd"",+396.86%,34.78,0.5,+1.46%,27.78,35.16,3.43,837890,2023-03-03"
"LIVE,""Live Ventures"",+395.61%,28.2,0.57,+2.06%,22.51,75.25,3.49,7275,2023-03-03"
"ZEUS,""Olympic Steel Inc"",+393.28%,58.75,2.15,+3.80%,46.84,58.84,7.74,149840,2023-03-03"
"NINE,""Nine Energy Service Inc"",+389.81%,10.58,0.43,+4.24%,8.42,17.1,0.38,1169290,2023-03-03"
"IPWR,""Ideal Power Inc"",+385.83%,11.66,0.01,+0.09%,9.26,24.95,1.08,11390,2023-03-03"
"KFS,""Kingsway Financial Services"",+385.51%,10.05,0.4,+4.15%,7.98,10.1,1.26,75730,2023-03-03"
"FSLR,""First Solar Inc"",+384.46%,210.11,11.89,+6.00%,166.74,211.47,28.47,2635005,2023-03-03"
"LNTH,""Lantheus Holdings"",+384.01%,72.94,-0.41,-0.56%,57.87,87.47,8.67,1093095,2023-03-03"
"MRNA,""Moderna Inc"",+383.62%,143.2,5.34,+3.87%,113.59,497.49,19.31,3734195,2023-03-03"
"NXE,""Nexgen Energy Ltd"",+383.52%,4.4,0.02,+0.46%,3.49,6.56,0.5,2470920,2023-03-03"
"REPX,""Riley Exploration Permian Inc"",+382.72%,33.07,0.45,+1.38%,26.22,79.2,4.43,30035,2023-03-03"
"SWAV,""Shockwave Medical Inc"",+380.65%,189.81,3.93,+2.11%,150.32,320.54,22.01,552390,2023-03-03"
"ELF,""E.L.F. Beauty Inc"",+380.45%,75.19,-0.030000000000001,-0.04%,59.54,76.01,7.58,777125,2023-03-03"
"RYI,""Ryerson Holding Corp"",+379.37%,41.13,1.49,+3.76%,32.55,44.09,3.76,416510,2023-03-03"
"RELL,""Richardson Electrncs"",+378.27%,21.57,0.45,+2.13%,17.06,27.24,3.1,135340,2023-03-03"
"AMPY,""Amplify Energy Corp"",+375.59%,10.13,0.12,+1.20%,8,10.38,0.49,547015,2023-03-03"
"LSCC,""Lattice Semicond"",+375.12%,88.61,1.92,+2.21%,69.96,92.55,13.54,1847295,2023-03-03"
"SJT,""San Juan Basin Royalty Trust"",+374.56%,10.82,-0.16,-1.46%,8.54,15.43,1.39,950875,2023-03-03"
"ERF,""Enerplus Corp"",+374.43%,16.51,0.14,+0.86%,13.03,19.23,1.15,1012775,2023-03-03"
"RYAM,""Rayonier Advanced Materials Inc"",+374.43%,8.35,0.0099999999999998,+0.12%,6.59,11.3,0.9,753980,2023-03-03"
"FRHC,""Freedom Holding Corp"",+374.14%,74.06,3.44,+4.87%,58.44,82.07,11.25,331715,2023-03-03"
"NRP,""Natural Resource Partners LP"",+372.56%,63.37,2.34,+3.83%,49.96,65.72,8.5,30250,2023-03-03"
"CIVI,""Civitas Resources Inc"",+370.81%,73.07,0.17999999999999,+0.25%,57.55,84.76,8.25,719510,2023-03-03"
"OLN,""Olin Corp"",+365.22%,60.2,1.2,+2.03%,47.26,67.25,8.76,1416250,2023-03-03"
"FCX,""Freeport-Mcmoran Inc"",+363.73%,43.73,0.91,+2.13%,34.3,51.99,4.82,10768320,2023-03-03"
"VSTO,""Vista Outdoor Inc"",+361.94%,29.01,0.41,+1.43%,22.73,52.69,4.29,595185,2023-03-03"
"TITN,""Titan Machinery Inc"",+358.85%,47.17,0.68,+1.46%,36.89,47.79,6.96,208240,2023-03-03"
"ON,""On Semiconductor"",+356.83%,78.94,2.19,+2.85%,61.66,87.55,8.17,8761660,2023-03-03"
"HRI,""Herc Holdings Inc"",+356.09%,145.4,0.34,+0.23%,113.52,203.14,11.81,314510,2023-03-03"
"LNW,""Light & Wonder Inc"",+351.26%,64.53,1.36,+2.15%,50.23,90.2,3.76,380730,2023-03-03"
"EVH,""Evolent Health Inc Cl A Com"",+350.88%,35.8,0.65,+1.85%,27.86,39.78,3.5,984865,2023-03-03"
"NUE,""Nucor Corp"",+350.32%,178.37,2.59,+1.47%,138.76,187.9,27.52,1626865,2023-03-03"
"MARPS,""Marine Petroleum U"",+349.22%,7.21,-0.25,-3.35%,5.61,32,1.01,6430,2023-03-03"
"MOD,""Modine Manufacturing Company"",+347.55%,26.54,0.99,+3.87%,20.61,26.68,2.84,509045,2023-03-03"
"WFRD,""Weatherford International Plc"",+344.84%,68.95,0.75,+1.10%,53.45,69.44,1.31,854180,2023-03-03"
"ISEE,""Iveric Bio Inc"",+344.64%,23.21,-0.46,-1.94%,17.99,26.35,2.64,3405375,2023-03-03"
"BRN,""Barnwell Industries"",+343.16%,2.46,0.08,+3.36%,1.9,6.99,0.3,42250,2023-03-03"
"X,""United States Steel Corp"",+343.08%,31.37,0.35,+1.13%,24.29,39.25,4.54,7254235,2023-03-03"
"KRUS,""Kura Sushi USA Inc Cl A"",+341.98%,68.02,4.38,+6.88%,52.63,96.6,5.07,133020,2023-03-03"
"GMGI,""Golden Matrix Group Inc"",+341.67%,3.18,0.13,+4.26%,2.46,14.05,0.2,23145,2023-03-03"
"DQ,""Daqo New Energy ADR"",+340.85%,52.02,3.24,+6.64%,40.22,130.33,8.32,1490350,2023-03-03"
"ESTE,""Earthstone Energy"",+340.12%,15.14,0.57,+3.91%,11.7,22.25,1.44,1433905,2023-03-03"
"CLF,""Cleveland-Cliffs Inc"",+339.96%,22.79,0.57,+2.57%,17.61,34.04,2.63,9897510,2023-03-03"
"SAVA,""Cassava Sciences Inc"",+338.74%,26.5,1.1,+4.33%,20.46,146.16,1.63,892810,2023-03-03"
"FLL,""Full House Rsts"",+337.61%,9.89,0.08,+0.82%,7.63,12.57,0.31,81225,2023-03-03"
"AAWW,""Atlas Air Ww"",+336.66%,99.82,-0.52,-0.52%,76.96,102.27,14.97,514945,2023-03-03"
"IDT,""IDT Corp"",+335.28%,30.6,0.2,+0.66%,23.57,67.3,4.81,94800,2023-03-03"
"TFII,""Tfi International Inc"",+335.02%,125.59,1.01,+0.81%,96.72,128.93,15.24,289185,2023-03-03"
"TGH,""Textainer Group Holdings"",+334.50%,33.5,0.4,+1.21%,25.79,41.89,5.5,289945,2023-03-03"
"KOSS,""Koss Cp"",+333.91%,4.99,-0.1,-1.96%,3.84,127.45,0.8,47870,2023-03-03"
"SWN,""Southwestern Energy Company"",+332.82%,5.67,0.26,+4.81%,4.36,9.87,1.06,29250545,2023-03-03"
"CAPR,""Capricor Therap"",+329.20%,4.85,-0.13,-2.61%,3.72,12.32,0.88,95400,2023-03-03"
"DY,""Dycom Industries"",+327.17%,101.11,2.15,+2.17%,77.44,122.13,12.24,616690,2023-03-03"
"PWR,""Quanta Services"",+326.57%,163.12,3.07,+1.92%,124.88,168.75,23.77,1020140,2023-03-03"
"FLR,""Fluor Corp"",+324.41%,37.56,-0.039999999999999,-0.11%,28.71,38.2,2.85,1471795,2023-03-03"
"SLCA,""U.S. Silica Holdings Inc"",+324.39%,13.92,0.43,+3.19%,10.64,21.54,0.79,762820,2023-03-03"
"DVN,""Devon Energy Corp"",+323.86%,56.67,0.97,+1.74%,43.3,79.4,4.7,12618721,2023-03-03"
"MYRG,""MYR Group Inc"",+323.21%,123.07,1.23,+1.01%,93.99,124.37,16.33,111650,2023-03-03"
"TSLA,""Tesla Inc"",+321.74%,197.79,6.89,+3.61%,150.89,414.5,23.37,184385859,2023-03-03"
"SPLP,""Steel Partners Hlds"",+320.62%,44.5508,0.7208,+1.64%,33.96,47.62,4.31,2665,2023-03-03"
"COOP,""Mr.Cooper Group Inc"",+318.81%,47.87,0.96,+2.05%,36.44,52.34,4.31,609415,2023-03-03"
"URI,""United Rentals"",+314.60%,479.57,8.97,+1.91%,363.9,481.59,58.85,638240,2023-03-03"
"WIRE,""Encore Wire Cp"",+314.02%,197.28,0.41,+0.21%,149.63,206.74,38.01,228145,2023-03-03"
"TDW,""Tidewater Inc"",+313.88%,49.5,1.46,+3.04%,37.54,51.65,4.09,764935,2023-03-03"
"KOS,""Kosmos Energy Ltd"",+311.79%,8.03,0.43,+5.66%,6.08,8.55,0.5,6507305,2023-03-03"
"ENPH,""Enphase Energy Inc"",+309.35%,217.16,5.6,+2.65%,164.11,339.92,21.49,4565020,2023-03-03"
"METC,""Ramaco Resources Inc"",+308.27%,10.86,0.41,+3.92%,8.2,21.73,1.75,359740,2023-03-03"
"ATKR,""Atkore Inc"",+307.27%,153.01,1.02,+0.67%,115.44,154.86,10.85,369785,2023-03-03"
"GSL,""Global Ship Lease Inc"",+306.76%,21.07,0.37,+1.79%,15.89,30.02,2.61,657200,2023-03-03"
"VTLE,""Vital Energy Inc"",+306.76%,57.06,2.66,+4.89%,43.03,120.86,6.6,655960,2023-03-03"
"TECK,""Teck Resources Ltd"",+305.14%,42.58,0.8,+1.91%,32.07,46.9,5.6,4629520,2023-03-03"
"ROCC,""Ranger Oil Corp"",+304.96%,44.1,1.28,+2.99%,33.21,53.59,0.99,595290,2023-03-03"
"UUU,""Universal Security Instruments"",+304.72%,2.57,0.085,+3.42%,1.93,19.88,0.3,926140,2023-03-03"
"BLDR,""Builders Firstsource"",+303.89%,89.18,2.48,+2.86%,67.1,89.41,9,1683045,2023-03-03"
HHS,Harte-Hanks,+301.10%,10.95,0.17,+1.58%,8.22,17.88,1.1,57505,2023-03-03
"BGFV,""Big 5 Sporting"",+300.89%,8.98,0.15,+1.70%,6.74,47.65,0.65,293890,2023-03-03"
"MOS,""Mosaic Company"",+299.58%,57.14,0.14,+0.25%,42.84,79.28,6.5,4477175,2023-03-03"
"AVID,""Avid Tech Inc"",+299.02%,28.45,-0.34,-1.18%,21.32,40.48,4.67,220000,2023-03-03"
"CAAS,""China Automotive Sys"",+295.79%,7.56,0.14,+1.89%,5.65,13.69,1.42,228345,2023-03-03"
"OIIM,""O2Micro Intl Ltd ADR"",+295.16%,4.9,0,0.00%,3.66,11.25,0.98,468187,2023-03-02"
"APEN,""Apollo Endosurgery Inc"",+294.84%,9.95,0.01,+0.10%,7.43,10.39,1.24,1394985,2023-03-03"
"NEON,""Neonode Inc"",+294.00%,7.88,0.37,+4.93%,5.88,14.75,1.25,112670,2023-03-03"
"MXC,""Mexco Energy Corp"",+293.00%,13,0.3,+2.36%,9.69,43,1.53,8150,2023-03-03"
"NSYS,""Nortech Systems IN"",+291.98%,14.76,0.29,+2.00%,10.99,19.56,2.52,7760,2023-03-03"
"CPRX,""Catalyst Pharm Inc"",+291.14%,15.45,0.15,+0.98%,11.5,22.11,2.55,1562735,2023-03-03"
"SMTI,""Sanara Medtech Inc"",+291.00%,43.01,0.14,+0.33%,32.01,53.85,7.04,9240,2023-03-03"
"TMST,""Timken Steel Corp"",+289.92%,19.73,0.55,+2.87%,14.67,26.23,2.16,391825,2023-03-03"
"BELFA,""Bel Fuse Cl A"",+288.49%,38.81,0.95,+2.51%,28.82,44.3,6.08,5955,2023-03-03"
"MRO,""Marathon Oil Corp"",+288.43%,26.53,0.43,+1.65%,19.7,33.42,3.02,11006045,2023-03-03"
"PRPH,""Prophase Labs Inc"",+287.50%,7.44,-0.08,-1.06%,5.52,16.04,1.2,29735,2023-03-03"
"SMCI,""Super Micro Computer"",+287.29%,97.83,-0.54,-0.55%,72.57,103.98,15.76,1415445,2023-03-03"
"FUTU,""Futu Holdings Ltd ADR"",+286.38%,50.23,-1.29,-2.50%,37.23,204.25,8.16,2378110,2023-03-03"
"ESTA,""Establishment Labs Holdings Inc"",+286.32%,73.71,3.81,+5.45%,54.63,93.8,7.56,134485,2023-03-03"
"LPLA,""Lpl Financial Holdings"",+284.49%,255.57,0.02,+0.01%,189.1,271.56,32.01,711705,2023-03-03"
"VRNA,""Verona Pharma Plc ADR"",+279.90%,22.49,0.77,+3.55%,16.57,26.44,2.01,552730,2023-03-03"
"STGW,""Stagwell Inc"",+278.44%,7.99,0.41,+5.34%,5.88,11.04,1.01,605170,2023-03-03"
"DKS,""Dick's Sporting Goods Inc"",+277.67%,132.11,2.6,+2.01%,97.13,147.39,13.46,883025,2023-03-03"
"EXTR,""Extreme Networks"",+276.14%,18.13,-0.1,-0.55%,13.31,21.03,1.43,1123605,2023-03-03"
"BLNK,""Blink Charging Company"",+273.49%,9.3,0.38,+4.26%,6.81,64.5,1.25,3231735,2023-03-03"
"SAIA,""Saia Inc"",+273.01%,295.65,10.12,+3.54%,216.39,365.5,61.46,414950,2023-03-03"
"ENLC,""Enlink Midstream Llc"",+272.99%,11.6,0.26,+2.29%,8.49,13.58,0.88,2829125,2023-03-03"
"ARCH,""Arch Resources Inc"",+272.81%,165.34,2.51,+1.54%,120.99,183.53,21.8,494620,2023-03-03"
"MGY,""Magnolia Oil & Gas Corp"",+271.25%,23.24,0.4,+1.75%,16.98,30.31,3.23,1752960,2023-03-03"
"BELFB,""Bel Fuse Inc Cl B"",+268.56%,37.04,0.11,+0.30%,26.99,42,6.3,116965,2023-03-03"
"VOXX,""Voxx Intl Corp"",+265.96%,12.15,0.38,+3.23%,8.83,27.78,1.82,55865,2023-03-03"
"NRT,""North European Oil Royality Trust"",+265.74%,11.85,-0.07,-0.59%,8.61,20.72,2.19,245525,2023-03-03"
"MACK,""Merrimack Pharmaceuticals Inc"",+264.71%,11.78,0.05,+0.43%,8.55,13.66,1.49,77655,2023-03-03"
"MNKD,""Mannkind Corp"",+263.43%,4.87,0.06,+1.25%,3.53,6.25,0.8,2989165,2023-03-03"
Downloaded from Barchart.com as of 03-05-2023 05:28am CST
