"Symbol,Name,Data,Last,Change,%Chg,""YTD Chg"",""YTD High"",""YTD Low"",""YTD Avg Vol"",Time"
"XPON,""Expion360 Inc"",+106.52%,4.75,0.06,+1.28%,2.45,5.25,1.36,3400343,2023-03-03"
"RRGB,""Red Robin Gourmet Burgers Inc"",+106.09%,11.5,0.31,+2.77%,5.92,11.7,5.61,342143,2023-03-03"
"YRD,""Yirendai Ltd ADR"",+105.84%,2.82,0.05,+1.81%,1.45,3.85,1.33,104902,2023-03-03"
"IMNM,""Immunome Inc"",+103.62%,4.5,0.06,+1.35%,2.29,6,2.4,117643,2023-03-03"
"BLBD,""Blue Bird Corp"",+102.80%,21.72,0.08,+0.37%,11.01,22,10.84,210102,2023-03-03"
"HRTG,""Heritage Insurance Holdings"",+102.22%,3.64,0.92,+33.82%,1.84,3.69,1.77,133071,2023-03-03"
"OSCR,""Oscar Health Inc Cl A"",+101.63%,4.96,0.27,+5.76%,2.5,6.15,2.39,1762893,2023-03-03"
"TCRX,""Tscan Therapeutics Inc"",+101.29%,3.12,-0.05,-1.58%,1.57,3.39,1.6,219840,2023-03-03"
"AMYT,""Amryt Pharma Plc ADR"",+100.27%,14.62,0.01,+0.07%,7.32,14.77,7,871007,2023-03-03"
"LAZR,""Luminar Technologies Inc"",+99.80%,9.89,0.86,+9.52%,4.94,10.35,3.91,14123560,2023-03-03"
"CETX,""Cemtrex Inc"",+99.79%,8.65,0.62,+7.72%,4.32,14.46,4.21,177635,2023-03-03"
"CVV,""CVD Equipment Corp"",+97.82%,10.9,-0.06,-0.55%,5.39,15.82,5.45,110488,2023-03-03"
"TALS,""Talaris Therapeutics Inc"",+96.08%,2,0.01,+0.50%,0.98,2.1,1.04,487660,2023-03-03"
"SJ,""Scienjoy Holding Corp"",+94.92%,3.84,0.24,+6.82%,1.87,3.92,1.93,105702,2023-03-03"
"VIAO,""Via Optronics Ag ADR"",+94.84%,3.11,-0.04,-1.27%,1.51,4,1.66,13207,2023-03-03"
"NEO,""Neogenomics Inc"",+94.70%,17.99,0.65,+3.75%,8.75,18.14,8.71,1010631,2023-03-03"
"EYEN,""Eyenovia Inc"",+93.87%,3.16,-0.04,-1.25%,1.53,3.32,1.63,236576,2023-03-03"
"PESI,""Perma-Fix Envir"",+93.48%,6.83,-0.07,-1.01%,3.3,7.25,3.56,60738,2023-03-03"
"GSUN,""Golden Sun Education Group Limited Cl A"",+92.73%,2.12,-0.07,-3.20%,1.02,3.5,0.95,4527486,2023-03-03"
"HIVE,""Hive Blockchain Technologies Ltd"",+90.97%,2.75,-0.06,-2.14%,1.31,4.29,1.44,1438260,2023-03-03"
"TA,""Travelcenters of America Llc"",+89.30%,84.77,0.22,+0.26%,39.99,85.06,43.05,642464,2023-03-03"
"DRCT,""Direct Digital Holdings Inc Cl A"",+88.87%,4.58,0.2,+4.57%,2.15,6.53,2.5,151148,2023-03-03"
"GLTO,""Galecto Inc"",+88.70%,2.17,0.06,+2.84%,1.02,2.95,1.18,56495,2023-03-03"
"HY,""Hyster-Yale Materials Handling"",+88.70%,47.76,3.49,+7.88%,22.45,48.4,25.2,68886,2023-03-03"
"INDI,""Indie Semiconductor Cl A"",+88.68%,11,0.55,+5.26%,5.17,11.12,5.74,1855388,2023-03-03"
"THRX,""Theseus Pharmaceuticals Inc"",+88.55%,9.39,0.33,+3.64%,4.41,14.77,5.03,341960,2023-03-03"
"RDW,""Redwire Corp"",+87.37%,3.71,-0.05,-1.33%,1.73,4.58,1.92,805507,2023-03-03"
"RIOT,""Riot Platforms Inc"",+87.02%,6.34,0.16,+2.59%,2.95,7.78,3.3,16391379,2023-03-03"
"EHTH,""Ehealth Inc"",+86.57%,9.03,0.48,+5.61%,4.19,10.11,4.65,910762,2023-03-03"
"MARA,""Marathon Digital Hldgs Inc"",+86.55%,6.38,0.12,+1.92%,2.96,9.57,3.28,36731648,2023-03-03"
"CPS,""Cooper Std Holdings Inc"",+86.20%,16.87,0.83,+5.17%,7.81,18.95,9.24,220364,2023-03-03"
"RDFN,""Redfin Corp"",+85.61%,7.87,0.63,+8.70%,3.63,10.7,4.23,4613560,2023-03-03"
"NVCN,""Neovasc Inc"",+83.86%,29.04,0.01,+0.02%,13.25,29.61,14,72910,2023-03-03"
"LAB,""Standard Biotools Inc"",+83.76%,2.15,0.33,+18.13%,0.98,2.18,1.16,236671,2023-03-03"
"LGF.A,""Lions Gate Entertainment Corp Cl A"",+83.71%,10.49,-0.28,-2.60%,4.78,11.13,5.49,1150821,2023-03-03"
"UVE,""Universal Insurance Holdings Inc"",+82.91%,19.37,0.12,+0.62%,8.78,19.65,10.17,223764,2023-03-03"
"VATE,""Innovate Corp"",+82.89%,3.42,0.09,+2.70%,1.55,3.49,1.84,423300,2023-03-03"
"FSLY,""Fastly Inc"",+82.66%,14.96,1.43,+10.57%,6.77,17.18,7.97,5173579,2023-03-03"
"ACRV,""Acrivon Therapeutics Inc"",+82.29%,21,0.5,+2.44%,9.48,25.47,11.51,29926,2023-03-03"
"COIN,""Coinbase Global Inc Cl A"",+82.28%,64.51,0.81,+1.27%,29.12,87.63,31.55,19811328,2023-03-03"
"LGF.B,""Lions Gate Entertainment Corp Cl B"",+81.22%,9.84,-0.28,-2.77%,4.41,10.41,5.22,1070331,2023-03-03"
"RPHM,""Reneo Pharmaceuticals Inc"",+80.26%,4.2,-0.1,-2.33%,1.87,4.5,2.17,55643,2023-03-03"
"THCH,""Th International Limited"",+80.22%,5.01,0.01,+0.20%,2.23,6.72,2.59,276467,2023-03-03"
"NVTS,""Navitas Semiconductor Corp"",+80.06%,6.32,0.25,+4.12%,2.81,6.96,3.53,1318440,2023-03-03"
"VLD,""Velo3D Inc"",+79.89%,3.22,0.39,+13.78%,1.43,3.95,1.69,1785931,2023-03-03"
"MNSO,""Miniso Group Holding Ltd ADR"",+79.78%,19.29,0.78,+4.21%,8.56,19.42,10.5,1673655,2023-03-03"
"ANPC,""Anpac Bio-Medical Science ADR"",+79.59%,8.4,-0.19,-2.26%,3.72,11.99,4.18,31626,2023-03-03"
"RVNC,""Revance Therapeutics"",+79.36%,33.11,1.56,+4.94%,14.65,36.61,18.11,1768886,2023-03-03"
"VTNR,""Vertex Energy"",+78.71%,11.08,0.62,+5.93%,4.88,11.09,5.6,2585088,2023-03-03"
"SKYT,""Skywater Technology Inc"",+78.62%,12.7,0.06,+0.47%,5.59,15.99,7.06,354724,2023-03-03"
"SOUN,""Soundhound Ai Inc Cl A"",+77.97%,3.15,0.62,+24.51%,1.38,4.97,0.97,14866405,2023-03-03"
"MIGI,""Mawson Infrastructure Group Inc"",+76.81%,2.44,0.16,+7.02%,1.06,3.6,1.44,68284,2023-03-03"
"DAO,""Youdao Inc ADR"",+76.58%,9.5,0.22,+2.37%,4.12,9.55,5.53,234350,2023-03-03"
"AEYE,""Audioeye Inc"",+76.50%,6.76,0.2,+3.05%,2.93,7.37,3.52,21164,2023-03-03"
"BTCM,""Bit Mining Ltd"",+75.95%,2.78,0.13,+4.91%,1.2,5.49,1.51,977452,2023-03-03"
"GOCO,""Gohealth Inc Cl A"",+75.69%,18.36,-0.72,-3.77%,7.91,19.85,9.64,51288,2023-03-03"
"SMG,""Scotts Miracle-Gro Company"",+75.47%,85.26,1.02,+1.21%,36.67,88.61,48.29,835876,2023-03-03"
"ZEUS,""Olympic Steel Inc"",+74.96%,58.75,2.15,+3.80%,25.17,58.84,32.25,121857,2023-03-03"
"MYMD,""Mymd Pharmaceuticals Inc"",+74.78%,2.01,0.13,+6.91%,0.86,2.98,1.09,322724,2023-03-03"
"ELOX,""Eloxx Pharmaceuticals Inc"",+74.73%,3.18,-0.22,-6.47%,1.36,5.5,1.89,178214,2023-03-03"
"PTON,""Peloton Interactive Inc"",+74.56%,13.86,0.94,+7.28%,5.92,17.83,7.89,14202510,2023-03-03"
"MSTR,""Microstrategy Cl A"",+74.41%,246.91,-5.98,-2.36%,105.34,315,139.38,602569,2023-03-03"
"CDZI,""Cadiz Inc"",+74.40%,4.36,0.21,+5.06%,1.86,4.98,2.43,187590,2023-03-03"
"RNLX,""Renalytix Ai Plc ADR"",+74.33%,3.26,-0.12,-3.55%,1.39,3.92,1.79,50495,2023-03-03"
"HALL,""Hallmark Fin Svc"",+72.40%,10.07,0.07,+0.70%,4.23,11.66,5.83,11226,2023-03-03"
"VAXX,""Vaxxinity Inc Cl A"",+72.14%,2.41,0.09,+3.88%,1.01,4.47,1.37,435083,2023-03-03"
"GFAI,""Guardforce Ai Company"",+72.12%,8.73,1.94,+28.57%,3.66,23.6,5.48,321108,2023-03-03"
