"Symbol,Name,Data,Last,Change,%Chg,""2Y Chg"",""2Y High"",""2Y Low"",Time"
"NRT,""North European Oil Royality Trust"",+199.24%,11.85,-0.07,-0.59%,7.89,20.72,3.75,2023-03-03"
"YPF,""Ypf Sociedad Anonima ADR"",+199.00%,11.93,0.38,+3.29%,7.94,13.11,2.82,2023-03-03"
"PBF,""PBF Energy Inc"",+197.83%,48.07,0.74,+1.56%,31.93,49,7.24,2023-03-03"
"RYI,""Ryerson Holding Corp"",+196.97%,41.13,1.49,+3.76%,27.28,44.09,13.39,2023-03-03"
"MVO,""Mv Oil Trust"",+196.92%,12.53,-0.0099999999999998,-0.08%,8.31,16.41,4.02,2023-03-03"
"TIPT,""Tiptree Fncl Cl A"",+196.12%,15.25,-0.4,-2.56%,10.1,17.3,5.14,2023-03-03"
"WIRE,""Encore Wire Cp"",+195.95%,197.28,0.41,+0.21%,130.62,206.74,65.09,2023-03-03"
"GLOP,""Gaslog Partners LP"",+195.70%,8.93,0.17,+1.94%,5.91,9.27,2.46,2023-03-03"
"SD,""Sandridge Energy Inc"",+194.52%,15.58,0.63,+4.21%,10.29,29.28,3.5,2023-03-03"
"ELF,""E.L.F. Beauty Inc"",+193.48%,75.19,-0.030000000000001,-0.04%,49.57,76.01,20.49,2023-03-03"
"ZEUS,""Olympic Steel Inc"",+191.56%,58.75,2.15,+3.80%,38.6,58.84,18.43,2023-03-03"
"SMCI,""Super Micro Computer"",+190.99%,97.83,-0.54,-0.55%,64.21,103.98,32.26,2023-03-03"
"BGI,""Birks Group Inc"",+188.11%,8.24,0,0.00%,5.38,8.77,1.38,2023-03-03"
"NUE,""Nucor Corp"",+186.31%,178.37,2.59,+1.47%,116.07,187.9,59.46,2023-03-03"
"AR,""Antero Resources Corp"",+185.27%,27.3,0.86,+3.25%,17.73,48.8,8.64,2023-03-03"
"VOC,""Voc Energy Trust"",+183.89%,8.46,-0.0099999999999998,-0.12%,5.48,13.7,2.92,2023-03-03"
"INSW,""International Seaways Inc"",+183.54%,52.88,0.56,+1.07%,34.23,53.25,13.05,2023-03-03"
"RRC,""Range Resources Corp"",+183.45%,27.92,0.63,+2.31%,18.07,37.44,8.47,2023-03-03"
"ARL,""American Realty Investors"",+183.40%,26.64,-0.82,-2.99%,17.24,28.39,7.71,2023-03-03"
"ROCC,""Ranger Oil Corp"",+179.82%,44.1,1.28,+2.99%,28.34,53.59,11.81,2023-03-03"
"CEPU,""Central Puerto S.A. ADR"",+174.88%,5.91,0.0099999999999998,+0.17%,3.76,6.93,1.9,2023-03-03"
"SJT,""San Juan Basin Royalty Trust"",+172.54%,10.82,-0.16,-1.46%,6.85,15.43,3.75,2023-03-03"
"PDS,""Precision Drilling Corp"",+169.65%,59.97,0.96,+1.63%,37.73,87.36,19.65,2023-03-03"
"CPSS,""Consumer Portfol"",+169.03%,11.38,0.23,+2.06%,7.15,15.47,3.8,2023-03-03"
"ESEA,""Euroseas Ltd"",+168.86%,20.03,0.29,+1.47%,12.58,39.17,6.51,2023-03-03"
"BPT,""BP Prudhoe Bay Royalty Trust"",+166.75%,10.75,0.16,+1.51%,6.72,26.08,2.92,2023-03-03"
"FSLR,""First Solar Inc"",+166.37%,210.11,11.89,+6.00%,131.23,211.47,59.6,2023-03-03"
"SMHI,""Seacor Marine Holdings Inc"",+166.19%,11.1,-0.1,-0.89%,6.93,11.6,3.08,2023-03-03"
"TNP,""Tsakos Energy Navigation Ltd"",+160.74%,24.51,0.74,+3.11%,15.11,24.53,6.75,2023-03-03"
HHS,Harte-Hanks,+160.71%,10.95,0.17,+1.58%,6.75,17.88,3.4,2023-03-03
"LQDA,""Liquidia Corp"",+160.28%,7.34,0.16,+2.23%,4.52,8.79,2.25,2023-03-03"
"CVE,""Cenovus Energy Inc"",+158.48%,19.36,0.28,+1.47%,11.87,24.91,7.16,2023-03-03"
"EDRY,""Eurodry Ltd"",+158.45%,18.35,-0.04,-0.22%,11.25,44.99,6.3,2023-03-03"
"FRO,""Frontline Plc"",+157.88%,18.98,0.68,+3.72%,11.62,19.29,6.1,2023-03-03"
"PR,""Permian Resources Corp"",+155.60%,11.86,-0.050000000000001,-0.42%,7.22,12.05,3.69,2023-03-03"
"VRNA,""Verona Pharma Plc ADR"",+153.27%,22.49,0.77,+3.55%,13.61,26.44,3.41,2023-03-03"
"NOG,""Northern Oil and Gas"",+153.00%,33.75,1.18,+3.62%,20.41,39.1,11.4,2023-03-03"
"JAKK,""Jakks Pacific Inc"",+152.81%,19.77,0.49,+2.54%,11.95,27.87,5.83,2023-03-03"
"ENLC,""Enlink Midstream Llc"",+152.17%,11.6,0.26,+2.29%,7,13.58,4.13,2023-03-03"
"MTDR,""Matador Resources Company"",+150.45%,57.83,1.18,+2.08%,34.74,73.78,21.55,2023-03-03"
"DVN,""Devon Energy Corp"",+149.76%,56.67,0.97,+1.74%,33.98,79.4,20.14,2023-03-03"
"CHS,""Chico's Fas"",+147.66%,6.34,0.14,+2.26%,3.78,7.3,2.12,2023-03-03"
"PRTA,""Prothena Corp"",+146.60%,54.03,1.06,+2.00%,32.12,79.75,19.67,2023-03-03"
"KOS,""Kosmos Energy Ltd"",+146.32%,8.03,0.43,+5.66%,4.77,8.55,1.8,2023-03-03"
"TRGP,""Targa Resources"",+145.48%,79.24,1.99,+2.58%,46.96,81.5,29.95,2023-03-03"
"PAM,""Pampa Energia S.A. ADR"",+144.84%,32.49,0.18,+0.56%,19.22,36.87,12.89,2023-03-03"
"METC,""Ramaco Resources Inc"",+144.04%,10.86,0.41,+3.92%,6.41,21.73,3.83,2023-03-03"
"CHRD,""Chord Energy Corp"",+143.60%,143.97,5.47,+3.95%,84.87,181.34,55.3,2023-03-03"
"MDGL,""Madrigal Pharmaceuticals Inc"",+142.86%,272.3,-0.49,-0.18%,160.18,315.45,52.33,2023-03-03"
"STGW,""Stagwell Inc"",+140.51%,7.99,0.41,+5.34%,4.66,11.04,2.79,2023-03-03"
"ASO,""Academy Sports and Outdoors Inc"",+139.71%,60.43,1.17,+1.97%,35.22,63.89,22.79,2023-03-03"
"TGS,""Transportadora DE Gas Sa Ord B ADR"",+139.69%,10.69,-0.14,-1.29%,6.23,12.78,4.05,2023-03-03"
"MPC,""Marathon Petroleum Corp"",+138.10%,133.5,3.87,+2.99%,77.43,136.46,50.19,2023-03-03"
"MUR,""Murphy Oil Corp"",+138.03%,41.56,0.8,+1.96%,24.1,51.28,14.91,2023-03-03"
"LNG,""Cheniere Energy"",+137.96%,164.38,1.06,+0.65%,95.3,182.35,69.16,2023-03-03"
"FENC,""Fennec Pharmaceuticals Inc"",+135.25%,9.01,-0.14,-1.53%,5.18,10.85,2.9,2023-03-03"
"PI,""Impinj Inc"",+134.21%,139.12,6.64,+5.01%,79.72,142.78,39.69,2023-03-03"
"UFPT,""U F P Tech Inc"",+132.24%,122.95,3.65,+3.06%,70.01,126.78,46.94,2023-03-03"
"GCBC,""Greene County Bncp"",+131.81%,56.4,2.28,+4.21%,32.07,79.79,24.09,2023-03-03"
"EDN,""Empresa Distribuidora Y Comercializadora ADR"",+128.72%,8.76,-0.050000000000001,-0.57%,4.93,10.51,3.27,2023-03-03"
"SBR,""Sabine Royalty Trust"",+128.18%,75.3,-1.69,-2.20%,42.3,91.1,29.6,2023-03-03"
"MRO,""Marathon Oil Corp"",+128.12%,26.53,0.43,+1.65%,14.9,33.42,9.7,2023-03-03"
"PFMT,""Performant Financial"",+127.27%,3.25,0.02,+0.62%,1.82,5.29,1.17,2023-03-03"
"IMO,""Imperial Oil Ltd"",+127.16%,51.61,0.35,+0.68%,28.89,58.99,22.44,2023-03-03"
"CRK,""Comstock Resources"",+126.68%,13.17,0.83,+6.73%,7.36,22.11,4.67,2023-03-03"
"HPK,""Highpeak Energy Inc"",+126.03%,28.66,0.84,+3.02%,15.98,38.21,6,2023-03-03"
"HROW,""Harrow Health Inc"",+125.36%,18.66,0.11,+0.59%,10.38,20.31,5.4,2023-03-03"
"APLD,""Applied Digital Corp"",+123.33%,2.68,0.05,+1.90%,1.48,34.2,0.84,2023-03-03"
"GRIN,""Grindrod Shipping Holdings Ltd"",+123.08%,14.5,0.19,+1.33%,8,28.98,5.69,2023-03-03"
CYTK,Cytokinetics,+122.90%,41.95,2.35,+5.93%,23.13,55.8,17.72,2023-03-03
